2024-11-02 13:58:16.09 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_to_DB (# = 24-24606 - Date = 02/11/2024) |  | 31
2024-11-02 13:58:17.74 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_to_DB | 1,6719 sec. | 31

2024-11-02 13:58:17.96 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_Locally (# = 24-24606 - Date = 02/11/2024) |  | 31
2024-11-02 13:58:18.28 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Details_Locally | 0,3359 sec. | 31

2024-11-02 13:58:18.49 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_to_DB - # = 24-24606 - Date = 02/11/2024 |  | 31
2024-11-02 13:58:19.99 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_to_DB | 1,5195 sec. | 31

2024-11-02 13:58:20.20 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_Locally - # = 24-24606 - Date = 02/11/2024 |  | 31
2024-11-02 13:58:20.43 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Invoice_Somm_Taux_Locally | 0,2344 sec. | 31

2024-11-02 13:58:20.67 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_to_DB (# = 24-24606 - Date = 02/11/2024 |  | 31
2024-11-02 13:58:22.34 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_to_DB | 1,6875 sec. | 31

2024-11-02 13:58:22.55 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_Locally (# = 24-24606 - Date = 02/11/2024 |  | 31
2024-11-02 13:58:22.79 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Add_Comptes_Clients_Locally | 0,2539 sec. | 31

2024-11-02 13:58:23.00 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_To_DB(3, 8) |  | 31
2024-11-02 13:58:24.67 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_To_DB | 1,6836 sec. | 31

2024-11-02 13:58:24.88 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_Locally(3, 8) |  | 31
2024-11-02 13:58:25.09 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:25.20 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1768 |  | 31
2024-11-02 13:58:25.28 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,2070 sec. | 31

2024-11-02 13:58:25.40 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:25.50 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1824 |  | 31
2024-11-02 13:58:25.58 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,1953 sec. | 31

2024-11-02 13:58:25.69 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:25.79 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1846 |  | 31
2024-11-02 13:58:25.86 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,1875 sec. | 31

2024-11-02 13:58:25.00 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:26.11 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1875 |  | 31
2024-11-02 13:58:26.20 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,2188 sec. | 31

2024-11-02 13:58:26.34 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:26.44 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 1947 |  | 31
2024-11-02 13:58:26.53 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,1992 sec. | 31

2024-11-02 13:58:26.64 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID |  | 31
2024-11-02 13:58:26.75 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID - Row # = 2061 |  | 31
2024-11-02 13:58:26.84 | Guillaume | APP_v5.D.0.xlsb | modFunctions:Fn_Find_Row_Number_TEC_ID | 0,2188 sec. | 31

2024-11-02 13:58:26.96 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_TEC_Update_As_Billed_Locally | 2,0938 sec. | 31

2024-11-02 13:58:27.05 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Détails_To_DB(94) |  | 31
2024-11-02 13:58:28.33 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Détails_To_DB | 1,2969 sec. | 31

2024-11-02 13:58:28.42 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Détails_Locally(94) |  | 31
2024-11-02 13:58:28.55 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Détails_Locally | 0,1484 sec. | 31

2024-11-02 13:58:28.64 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Entête_To_DB(94) |  | 31
2024-11-02 13:58:29.55 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Entête_To_DB | 0,9336 sec. | 31

2024-11-02 13:58:29.64 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Entête_Locally(94) |  | 31
2024-11-02 13:58:29.75 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Softdelete_Projets_Entête_Locally | 0,1211 sec. | 31

2024-11-02 13:58:29.88 | Guillaume | APP_v5.D.0.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
